Unnamed: 0,label,text
,Dengue,"I have been experiencing  malaise,  malaise,  malaise."
,Chicken pox,"I have been experiencing  skin_rash,  headache,  skin_rash."
,Impetigo,"I have been experiencing  red_sore_around_nose,  red_sore_around_nose,  red_sore_around_nose."
,Common Cold,"I have been experiencing  runny_nose,  muscle_pain,  fatigue."
,Bronchial Asthma,"I have been experiencing  cough, Bronchial Asthma,  fatigue."
,Jaundice,"I have been experiencing  high_fever,  high_fever, Jaundice."
,Malaria,"I have been experiencing Malaria,  nausea,  nausea."
,Psoriasis,"I have been experiencing  silver_like_dusting,  joint_pain,  silver_like_dusting."
,Impetigo,"I have been experiencing  red_sore_around_nose,  red_sore_around_nose,  red_sore_around_nose."
,Acne,"I have been experiencing  pus_filled_pimples,  pus_filled_pimples,  pus_filled_pimples."
,Common Cold,"I have been experiencing Common Cold,  malaise,  redness_of_eyes."
,Chicken pox,"I have been experiencing  lethargy, Chicken pox,  headache."
,Fungal infection,"I have been experiencing Fungal infection,  nodal_skin_eruptions, Fungal infection."
,Migraine,"I have been experiencing  depression, Migraine,  irritability."
,Psoriasis,"I have been experiencing Psoriasis,  inflammatory_nails,  silver_like_dusting."
,Typhoid,"I have been experiencing  constipation,  abdominal_pain,  high_fever."
,Migraine,"I have been experiencing  acidity,  blurred_and_distorted_vision,  headache."
,Chicken pox,"I have been experiencing  mild_fever,  swelled_lymph_nodes, Chicken pox."
,Dengue,"I have been experiencing  joint_pain,  chills,  back_pain."
,Common Cold,"I have been experiencing  cough,  chills,  runny_nose."
,Arthritis,"I have been experiencing  stiff_neck,  swelling_joints, Arthritis."
,Malaria,"I have been experiencing  sweating,  headache,  headache."
,Pneumonia,"I have been experiencing  phlegm,  cough,  fast_heart_rate."
,Acne,"I have been experiencing  skin_rash,  scurring,  skin_rash."
,Dengue,"I have been experiencing  red_spots_over_body,  headache,  loss_of_appetite."
,Psoriasis,"I have been experiencing  skin_rash, Psoriasis,  inflammatory_nails."
,Bronchial Asthma,"I have been experiencing  high_fever,  high_fever,  breathlessness."
,Common Cold,"I have been experiencing  cough,  chest_pain,  loss_of_smell."
,Dengue,"I have been experiencing  back_pain,  back_pain, Dengue."
,Cervical spondylosis,"I have been experiencing  back_pain,  loss_of_balance,  neck_pain."
,Common Cold,"I have been experiencing  phlegm,  sinus_pressure,  muscle_pain."
,Psoriasis,"I have been experiencing Psoriasis,  inflammatory_nails,  small_dents_in_nails."
,Common Cold,"I have been experiencing  malaise,  fatigue,  runny_nose."
,Acne,"I have been experiencing  skin_rash,  pus_filled_pimples, Acne."
,Jaundice,"I have been experiencing  weight_loss, Jaundice, itching."
,Impetigo,"I have been experiencing Impetigo,  high_fever,  blister."
,Fungal infection,"I have been experiencing Fungal infection, itching, itching."
,Dengue,"I have been experiencing  headache,  loss_of_appetite,  malaise."
,Psoriasis,"I have been experiencing Psoriasis,  joint_pain,  joint_pain."
,Bronchial Asthma,"I have been experiencing  family_history,  high_fever,  breathlessness."
,Migraine,"I have been experiencing Migraine,  depression,  irritability."
,Arthritis,"I have been experiencing  stiff_neck,  muscle_weakness,  movement_stiffness."
,Pneumonia,"I have been experiencing  fast_heart_rate,  chest_pain,  breathlessness."
,Pneumonia,"I have been experiencing  cough,  fast_heart_rate, Pneumonia."
,Fungal infection,"I have been experiencing Fungal infection,  skin_rash, itching."
,Jaundice,"I have been experiencing  fatigue,  abdominal_pain,  fatigue."
,Acne,"I have been experiencing  blackheads,  skin_rash,  skin_rash."
,Common Cold,"I have been experiencing  redness_of_eyes,  runny_nose,  swelled_lymph_nodes."
,Common Cold,"I have been experiencing  malaise,  cough,  malaise."
,Cervical spondylosis,"I have been experiencing  neck_pain,  dizziness,  neck_pain."
,Pneumonia,"I have been experiencing  fatigue,  breathlessness,  fatigue."
,Arthritis,"I have been experiencing  stiff_neck,  muscle_weakness,  swelling_joints."
,Common Cold,"I have been experiencing  continuous_sneezing,  malaise,  sinus_pressure."
,Pneumonia,"I have been experiencing  fatigue,  phlegm,  fast_heart_rate."
,Pneumonia,"I have been experiencing  phlegm,  breathlessness,  chest_pain."
,Malaria,"I have been experiencing  headache,  sweating,  high_fever."
,Chicken pox,"I have been experiencing  headache,  loss_of_appetite,  loss_of_appetite."
,Dengue,"I have been experiencing  malaise,  nausea,  joint_pain."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions, itching, Fungal infection."
,Bronchial Asthma,"I have been experiencing  high_fever,  cough,  fatigue."
,Common Cold,"I have been experiencing  chills,  runny_nose,  high_fever."
,Impetigo,"I have been experiencing Impetigo, Impetigo,  high_fever."
,Impetigo,"I have been experiencing  red_sore_around_nose,  blister,  high_fever."
,Chicken pox,"I have been experiencing  loss_of_appetite,  lethargy,  red_spots_over_body."
,Common Cold,"I have been experiencing  congestion,  swelled_lymph_nodes,  chills."
,Chicken pox,"I have been experiencing Chicken pox,  high_fever,  skin_rash."
,Bronchial Asthma,"I have been experiencing  fatigue, Bronchial Asthma,  high_fever."
,Cervical spondylosis,"I have been experiencing  neck_pain,  loss_of_balance,  weakness_in_limbs."
,Migraine,"I have been experiencing  indigestion,  excessive_hunger,  indigestion."
,Migraine,"I have been experiencing  irritability,  visual_disturbances,  irritability."
,Pneumonia,"I have been experiencing  phlegm,  fatigue,  fatigue."
,Common Cold,"I have been experiencing  loss_of_smell,  throat_irritation,  high_fever."
,Typhoid,"I have been experiencing Typhoid,  constipation,  toxic_look_(typhos)."
,Typhoid,"I have been experiencing Typhoid,  nausea,  fatigue."
,Malaria,"I have been experiencing  chills,  vomiting,  headache."
,Psoriasis,"I have been experiencing  silver_like_dusting,  small_dents_in_nails, Psoriasis."
,Bronchial Asthma,"I have been experiencing  family_history,  cough,  fatigue."
,Arthritis,"I have been experiencing  muscle_weakness,  stiff_neck,  stiff_neck."
,Cervical spondylosis,"I have been experiencing  loss_of_balance,  neck_pain,  neck_pain."
,Migraine,"I have been experiencing  acidity,  blurred_and_distorted_vision,  excessive_hunger."
,Arthritis,"I have been experiencing Arthritis,  movement_stiffness, Arthritis."
,Pneumonia,"I have been experiencing  malaise,  breathlessness,  high_fever."
,Malaria,"I have been experiencing  headache,  diarrhoea,  nausea."
,Bronchial Asthma,"I have been experiencing  family_history,  family_history,  family_history."
,Arthritis,"I have been experiencing  stiff_neck,  stiff_neck,  muscle_weakness."
,Pneumonia,"I have been experiencing Pneumonia,  high_fever,  chest_pain."
,Dengue,"I have been experiencing  fatigue,  back_pain,  loss_of_appetite."
,Typhoid,"I have been experiencing  vomiting,  constipation,  belly_pain."
,Pneumonia,"I have been experiencing  sweating,  chest_pain,  fatigue."
,Acne,"I have been experiencing  pus_filled_pimples, Acne,  skin_rash."
,Bronchial Asthma,"I have been experiencing  fatigue, Bronchial Asthma, Bronchial Asthma."
,Pneumonia,"I have been experiencing  cough,  high_fever,  breathlessness."
,Common Cold,"I have been experiencing  throat_irritation,  chest_pain,  fatigue."
,Pneumonia,"I have been experiencing  fast_heart_rate,  fast_heart_rate,  malaise."
,Impetigo,"I have been experiencing  high_fever, Impetigo,  skin_rash."
,Dengue,"I have been experiencing  pain_behind_the_eyes,  loss_of_appetite,  chills."
,Migraine,"I have been experiencing  irritability,  indigestion,  excessive_hunger."
,Jaundice,"I have been experiencing  yellowish_skin, Jaundice,  vomiting."
,Arthritis,"I have been experiencing  swelling_joints, Arthritis,  movement_stiffness."
,Impetigo,"I have been experiencing  red_sore_around_nose, Impetigo,  skin_rash."
,Dengue,"I have been experiencing  headache,  joint_pain,  vomiting."
,Dengue,"I have been experiencing  loss_of_appetite,  skin_rash,  high_fever."
,Fungal infection,"I have been experiencing  skin_rash, itching, Fungal infection."
,Pneumonia,"I have been experiencing  fast_heart_rate, Pneumonia,  chest_pain."
,Migraine,"I have been experiencing  depression,  visual_disturbances,  acidity."
,Cervical spondylosis,"I have been experiencing  back_pain,  back_pain,  back_pain."
,Bronchial Asthma,"I have been experiencing  cough,  fatigue,  high_fever."
,Fungal infection,"I have been experiencing itching, Fungal infection,  nodal_skin_eruptions."
,Common Cold,"I have been experiencing  congestion,  throat_irritation,  chills."
,Fungal infection,"I have been experiencing Fungal infection,  dischromic _patches,  skin_rash."
,Psoriasis,"I have been experiencing  silver_like_dusting, Psoriasis,  skin_rash."
,Bronchial Asthma,"I have been experiencing Bronchial Asthma,  family_history,  fatigue."
,Impetigo,"I have been experiencing  blister,  red_sore_around_nose,  yellow_crust_ooze."
,Cervical spondylosis,"I have been experiencing  back_pain,  dizziness,  back_pain."
,Cervical spondylosis,"I have been experiencing  back_pain,  weakness_in_limbs,  back_pain."
,Common Cold,"I have been experiencing  headache,  sinus_pressure,  runny_nose."
,Psoriasis,"I have been experiencing  silver_like_dusting,  skin_rash,  skin_rash."
,Cervical spondylosis,"I have been experiencing Cervical spondylosis,  back_pain,  loss_of_balance."
,Pneumonia,"I have been experiencing  malaise,  breathlessness,  cough."
,Jaundice,"I have been experiencing  dark_urine, Jaundice,  vomiting."
,Common Cold,"I have been experiencing  chills,  fatigue,  throat_irritation."
,Migraine,"I have been experiencing  headache,  visual_disturbances,  stiff_neck."
,Chicken pox,"I have been experiencing  loss_of_appetite,  swelled_lymph_nodes,  swelled_lymph_nodes."
,Typhoid,"I have been experiencing  high_fever, Typhoid,  headache."
,Dengue,"I have been experiencing  loss_of_appetite,  loss_of_appetite,  red_spots_over_body."
,Impetigo,"I have been experiencing  yellow_crust_ooze,  blister,  skin_rash."
,Typhoid,"I have been experiencing  headache,  belly_pain,  toxic_look_(typhos)."
,Arthritis,"I have been experiencing Arthritis,  swelling_joints,  stiff_neck."
,Migraine,"I have been experiencing  indigestion,  excessive_hunger, Migraine."
,Arthritis,"I have been experiencing  movement_stiffness,  movement_stiffness,  muscle_weakness."
,Cervical spondylosis,"I have been experiencing  dizziness,  dizziness,  dizziness."
,Cervical spondylosis,"I have been experiencing  neck_pain,  loss_of_balance, Cervical spondylosis."
,Arthritis,"I have been experiencing  muscle_weakness,  muscle_weakness,  swelling_joints."
,Impetigo,"I have been experiencing  skin_rash,  skin_rash,  high_fever."
,Acne,"I have been experiencing Acne,  blackheads,  skin_rash."
,Cervical spondylosis,"I have been experiencing  dizziness, Cervical spondylosis,  weakness_in_limbs."
,Psoriasis,"I have been experiencing  inflammatory_nails,  small_dents_in_nails,  skin_peeling."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions,  nodal_skin_eruptions,  nodal_skin_eruptions."
,Common Cold,"I have been experiencing  runny_nose,  chest_pain,  loss_of_smell."
,Malaria,"I have been experiencing  headache,  muscle_pain,  diarrhoea."
,Psoriasis,"I have been experiencing  silver_like_dusting,  skin_peeling, Psoriasis."
,Fungal infection,"I have been experiencing  skin_rash, itching, Fungal infection."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions,  skin_rash, itching."
,Psoriasis,"I have been experiencing  small_dents_in_nails,  skin_peeling,  skin_peeling."
,Malaria,"I have been experiencing  headache,  vomiting,  sweating."
,Malaria,"I have been experiencing  high_fever, Malaria,  headache."
,Chicken pox,"I have been experiencing  loss_of_appetite,  fatigue,  fatigue."
,Bronchial Asthma,"I have been experiencing  cough,  cough,  cough."
,Malaria,"I have been experiencing  headache,  high_fever,  vomiting."
,Pneumonia,"I have been experiencing Pneumonia, Pneumonia,  high_fever."
,Fungal infection,"I have been experiencing itching, Fungal infection,  skin_rash."
,Malaria,"I have been experiencing Malaria,  high_fever,  nausea."
,Typhoid,"I have been experiencing Typhoid,  headache,  toxic_look_(typhos)."
,Impetigo,"I have been experiencing  blister,  skin_rash,  skin_rash."
,Psoriasis,"I have been experiencing  joint_pain,  inflammatory_nails,  skin_rash."
,Dengue,"I have been experiencing  loss_of_appetite,  fatigue,  vomiting."
,Psoriasis,"I have been experiencing  joint_pain,  silver_like_dusting,  joint_pain."
,Pneumonia,"I have been experiencing  high_fever,  cough,  malaise."
,Arthritis,"I have been experiencing  muscle_weakness, Arthritis,  painful_walking."
,Fungal infection,"I have been experiencing  nodal_skin_eruptions,  dischromic _patches, itching."
,Dengue,"I have been experiencing  skin_rash,  muscle_pain,  headache."
,Dengue,"I have been experiencing  chills,  malaise,  skin_rash."
,Cervical spondylosis,"I have been experiencing  dizziness,  neck_pain,  dizziness."
,Fungal infection,"I have been experiencing itching, Fungal infection, itching."
,Bronchial Asthma,"I have been experiencing Bronchial Asthma,  high_fever,  breathlessness."
,Typhoid,"I have been experiencing Typhoid,  toxic_look_(typhos),  vomiting."
,Arthritis,"I have been experiencing  swelling_joints,  movement_stiffness,  muscle_weakness."
,Psoriasis,"I have been experiencing  skin_peeling,  skin_rash, Psoriasis."
,Fungal infection,"I have been experiencing itching, Fungal infection, itching."
,Acne,"I have been experiencing Acne, Acne,  blackheads."
,Migraine,"I have been experiencing  excessive_hunger, Migraine,  irritability."
,Migraine,"I have been experiencing Migraine,  indigestion,  indigestion."
,Dengue,"I have been experiencing  joint_pain,  malaise,  nausea."
,Jaundice,"I have been experiencing  dark_urine,  yellowish_skin,  fatigue."
,Cervical spondylosis,"I have been experiencing  dizziness,  neck_pain, Cervical spondylosis."
,Arthritis,"I have been experiencing Arthritis,  stiff_neck,  swelling_joints."
,Malaria,"I have been experiencing  headache, Malaria, Malaria."
,Fungal infection,"I have been experiencing itching,  nodal_skin_eruptions, itching."
,Jaundice,"I have been experiencing  high_fever, itching,  vomiting."
,Impetigo,"I have been experiencing  red_sore_around_nose,  high_fever,  red_sore_around_nose."
,Malaria,"I have been experiencing  high_fever, Malaria,  vomiting."
,Common Cold,"I have been experiencing  high_fever,  chills,  continuous_sneezing."
,Impetigo,"I have been experiencing  blister,  red_sore_around_nose,  skin_rash."
,Chicken pox,"I have been experiencing  high_fever,  mild_fever,  loss_of_appetite."
,Fungal infection,"I have been experiencing  dischromic _patches,  skin_rash,  nodal_skin_eruptions."
,Typhoid,"I have been experiencing  toxic_look_(typhos),  abdominal_pain,  chills."
,Psoriasis,"I have been experiencing  skin_peeling,  skin_rash,  silver_like_dusting."
,Acne,"I have been experiencing  skin_rash, Acne,  skin_rash."
,Impetigo,"I have been experiencing  red_sore_around_nose,  high_fever,  blister."
,Cervical spondylosis,"I have been experiencing  loss_of_balance,  dizziness,  dizziness."
,Bronchial Asthma,"I have been experiencing  mucoid_sputum, Bronchial Asthma,  cough."
,Migraine,"I have been experiencing  headache,  headache, Migraine."
,Bronchial Asthma,"I have been experiencing  high_fever,  breathlessness,  cough."
,Impetigo,"I have been experiencing  high_fever,  high_fever,  red_sore_around_nose."
,Chicken pox,"I have been experiencing  mild_fever,  loss_of_appetite,  skin_rash."
,Bronchial Asthma,"I have been experiencing  family_history,  fatigue,  fatigue."
,Bronchial Asthma,"I have been experiencing  family_history, Bronchial Asthma,  cough."
,Typhoid,"I have been experiencing  fatigue,  abdominal_pain,  nausea."
,Impetigo,"I have been experiencing  yellow_crust_ooze,  blister,  red_sore_around_nose."
,Chicken pox,"I have been experiencing  mild_fever,  swelled_lymph_nodes,  lethargy."
,Arthritis,"I have been experiencing  stiff_neck,  stiff_neck,  muscle_weakness."
,Impetigo,"I have been experiencing Impetigo,  skin_rash,  red_sore_around_nose."
,Common Cold,"I have been experiencing  throat_irritation,  high_fever,  throat_irritation."
,Jaundice,"I have been experiencing  dark_urine,  fatigue,  vomiting."
,Cervical spondylosis,"I have been experiencing  dizziness,  dizziness,  dizziness."
,Typhoid,"I have been experiencing  abdominal_pain,  high_fever,  diarrhoea."
,Bronchial Asthma,"I have been experiencing  breathlessness,  high_fever, Bronchial Asthma."
,Jaundice,"I have been experiencing Jaundice,  high_fever,  yellowish_skin."
,Psoriasis,"I have been experiencing  silver_like_dusting,  skin_peeling, Psoriasis."
,Jaundice,"I have been experiencing  high_fever,  fatigue,  yellowish_skin."
,Migraine,"I have been experiencing  excessive_hunger,  acidity,  stiff_neck."
,Chicken pox,"I have been experiencing  fatigue,  high_fever,  swelled_lymph_nodes."
,Psoriasis,"I have been experiencing  small_dents_in_nails,  skin_rash,  skin_rash."
,Malaria,"I have been experiencing  vomiting,  nausea,  vomiting."
,Common Cold,"I have been experiencing  sinus_pressure,  fatigue,  chest_pain."
,Psoriasis,"I have been experiencing  silver_like_dusting,  joint_pain,  skin_peeling."
,Malaria,"I have been experiencing  sweating,  sweating,  headache."
,Psoriasis,"I have been experiencing  skin_rash, Psoriasis,  skin_peeling."
,Dengue,"I have been experiencing  loss_of_appetite,  nausea,  muscle_pain."
